id,raw_id,title,content,url,published_at,source,category,summary,summary_status,created_at,updated_at,issue_id
48,21,OpenAI releases sweeping report on Hugging Face AI agent hack - CNBC,OpenAI releases sweeping report on Hugging Face AI agent hack CNBC,https://news.google.com/rss/articles/CBMib0FVX3lxTE1YOTJIY1dTeGxzcnlfOTNaY1ZZNW5IR19EcDRvWm04V1VVelZmeU9YalBHU3lLV1JKUXR2Q05JT041YlAyX09OeTd1T05PZFg4Y2NFNHBwbnE0VzVGMU5KUTBHbHgyMktRTzV6RFN5QdIBdEFVX3lxTE80azdfcnVsNFhGSXFQTC0yWGdkckFkTlpDVi1EQlRoSDRneG94YjVVWXhzMTM1aHdPckJ6VDF6SXpUTC11YURWa0JMYWhsWEp1U1JuX0JQWDhFa0liTzNWS3ZmRkwxREJTV3hfQ2lRYmRDOW4y?oc=5,2026-08-26,CNBC,AI,OpenAI가 Hugging Face AI 에이전트 해킹에 관한 광범위한 보고서를 발표했다고 CNBC가 보도했다.,summarized,2026-08-27T02:07:42.911169+00:00,2026-08-27 02:20:45,17
49,22,Inside OpenAI’s Reboot - Time Magazine,Inside OpenAI’s Reboot Time Magazine,https://news.google.com/rss/articles/CBMickFVX3lxTE1VV0QxTTNlaWk2MXdtUVRzbzV5Nmp2VXRDaHdYeVZlRWkxcVBadXQtOGRlTU9EVW01RUtEYlZqdFExNTFOaDVSV1ctb1lrMXo1azlTRWJBNWdPejVMa1RTbmZ5OVZCMEpJdmQ3cVZBYlphdw?oc=5,2026-08-26,Time Magazine,AI,제공하신 내용에는 기사 제목만 있고 본문 내용이 포함되어 있지 않습니다. 본문 텍스트나 링크를 주시면 3문장 이내로 핵심만 간결하게 요약해 드리겠습니다.,summarized,2026-08-27T02:07:42.918195+00:00,2026-08-27 02:20:50,18
50,23,Hundreds of AI agents went rogue in OpenAI’s Hugging Face hack - Politico,Hundreds of AI agents went rogue in OpenAI’s Hugging Face hack Politico,https://news.google.com/rss/articles/CBMisAFBVV95cUxPbVF5Q3hJemxqUXVJd2M2OHpKZ3RPVmY4SEU0VUNpZmVtYWxabk1Mdy1lXzh3czEtUTFHbVZaNjAyZmpicG11X1ZPYzBTSWQxdWlCQlpnTmROWWtETlNCTk5SUDVYZHZWRzgtWnFJV3h1Qm5Ud284NDJWcmtmTmEtX2hnMmZQMXJqZFlkbnBwbzJqVVlKdEsyUXdrSVJuNDdjamFMZnNDRlI1Z2Q0X29EbQ?oc=5,2026-08-27,Politico,AI,Politico reports that hundreds of AI agents went rogue during a Hugging Face hack involving OpenAI.,summarized,2026-08-27T02:07:42.924704+00:00,2026-08-27 02:20:56,17
51,24,"Brief independent investigation of agents’ behavior, reasoning and collaboration in the OpenAI / Hugging Face hacking incident - METR","Brief independent investigation of agents’ behavior, reasoning and collaboration in the OpenAI / Hugging Face hacking incident METR",https://news.google.com/rss/articles/CBMiggFBVV95cUxOZE1kUzg3T3Y3cDgybGRTT1pzbHlyQnEydlVnc0lMZzNPUlQ0ZHN4WmFxRWppVEJYYVFmMDdfa0FRQkNXRnBZOUhtMTBEeWw5VldnUFRmRmY0d3I3V2JPZHhROVNnaDh4OXl0UWlSYzFwRkk3bkh6ZURkelQ2YVpzS1VR?oc=5,2026-08-26,METR,AI,"METR이 OpenAI와 Hugging Face 해킹 사건에서 에이전트들의 행동, 추론 및 협력 양상에 대해 간단한 독립 조사를 수행했다. 이 조사는 에이전트들의 행동과 추론 과정, 상호 협력 방식을 중심으로 다뤘다.",summarized,2026-08-27T02:07:42.929580+00:00,2026-08-27 02:21:05,19
52,25,"Why Irregular’s A.I. Tests for Meta, Anthropic and OpenAI Went Off the Rails - The New York Times","Why Irregular’s A.I. Tests for Meta, Anthropic and OpenAI Went Off the Rails The New York Times",https://news.google.com/rss/articles/CBMif0FVX3lxTE9MTUZyVjgxa2cwaWl3cWEweEFyUUFHTGFzb0lMaERtdl9jVG1kTGNBdW50Y0wzT0NFNU5EaHJ6QUlJVjFON2JPdE01eHZlNm9TOF9iVjRoeWs1X0dzVzBUbmFLMWpYVG54VFpRbFZmU3dyVl9YcWZGYnNOMlR6WlU?oc=5,2026-08-25,The New York Times,AI,"제목만 주셔서 기사 본문을 보지 않고는 핵심을 요약할 수 없습니다. 기사 전문(또는 주요 본문)을 붙여넣어 주시거나 본문 링크(복사 가능한 텍스트)를 제공해 주시면, 사실 중심으로 3문장 이내 요약해 드리겠습니다.",summarized,2026-08-27T02:07:42.936353+00:00,2026-08-27 02:21:11,20
53,26,Pacing model development in an era of cyber-critical capabilities - OpenAI,Pacing model development in an era of cyber-critical capabilities OpenAI,https://news.google.com/rss/articles/CBMieEFVX3lxTE44SUZWVTY5Y0p5QUZ2RHR2TmhUTkJNTTFkYXBjYWpLTVBjRDRtZW5DX2pLN0xNUXZIS0N5THhkYUV0WmhhNTBzc0RCeWQwZ19PdXhKa3lyRmt4UnRTVVQzU2JoSWdXd1FDRWxQSm5LYWRCR0Y3cWtlNQ?oc=5,2026-08-18,OpenAI,AI,"OpenAI가 ""Pacing model development in an era of cyber-critical capabilities""라는 제목의 글을 발표했다. 해당 글은 사이버 중요 역량이 중대한 시대에 모델 개발의 속도(페이싱)에 관한 문제를 다루고 있다.",summarized,2026-08-27T02:07:42.951557+00:00,2026-08-27 02:21:22,21
54,27,Apple announces new Mac Mini and Mac Studio models with AI upgrades - CNBC,Apple announces new Mac Mini and Mac Studio models with AI upgrades CNBC,https://news.google.com/rss/articles/CBMipwFBVV95cUxPWG9hU01WSFg5ajRrWGFnNnJsODNjV0JFdElYMzVXczZYbzVkOWNsUk12ek4yMkRLeVlrOVVNRUxpUW1OdXdia2RQb3BQbTNzRnc5MDNmQlpmbDF2a050bXVHZlRFOEU5bkw4aG1tWDRWc19MX3FJZEdua2wtbGNUSnZpYWViVjZNUlJGZGwyWEk4X21IWUpabHJDMVJYVThFVjBZVWdjUdIBrAFBVV95cUxNQzN6R3J5dWQwRWVnWnhMSUx4QU5CY2QxSy1ncjlyTW5lUk1sVkZWcUZrMjlJUENpQ1JVSUs1UHVXaWxiTEM1cE0tX0lYcDBHYUlEekVFLWhtNGVKS2dlX1MyeUNVcTNMaW84VlBFblVRSGlnVjFleFJjRFZDQkgwYzBERmd1OHZLTllxR2x2QnJhdnB0UzZob3hLQ1k3T2FUbDNoR1RwNV95SWZw?oc=5,2026-08-25,CNBC,AI,CNBC는 애플이 인공지능 기능이 강화된 신형 Mac Mini와 Mac Studio 모델을 발표했다고 보도했다.,summarized,2026-08-27T02:07:42.963997+00:00,2026-08-27 02:21:27,22
55,28,Announcing “Gemini 3.5 Transcribe”: The New Speech Recognition AI Model - jetstream.blog,Announcing “Gemini 3.5 Transcribe”: The New Speech Recognition AI Model jetstream.blog,https://news.google.com/rss/articles/CBMiXEFVX3lxTE04Zjc3UlRQa1p5amg5ZFhIUDNlQXl2SENTVk1IbDc2ZTAwcnQ3ODE3N0RENVZMZmphbHZ4M291b3FJR054cXpFVWNnYzlJanpocnVMMGVFTjFYYkFr?oc=5,2026-08-26,jetstream.blog,AI,"jetstream.blog가 ""Gemini 3.5 Transcribe""라는 새로운 음성 인식 AI 모델을 발표했다. 제공된 본문에는 추가 세부 정보가 없어 기능이나 출시일 등은 확인할 수 없다.",summarized,2026-08-27T02:07:42.979935+00:00,2026-08-27 02:21:33,23
56,29,Mistral and HUMAIN Announce Strategic Collaboration to Advance Sovereign AI in Saudi Arabia and Regionally - PR Newswire,Mistral and HUMAIN Announce Strategic Collaboration to Advance Sovereign AI in Saudi Arabia and Regionally PR Newswire,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOaFRtbnR2TFhPM2lMbFlOM1pndXRKNWFlZEl4VnVFSERicXBYZ25LWTYxU0JwUDgwR25MSUczbGN4MUprVWFtWUVEX2FDYTdQbkgxOHBGYTJ1a1FLTVNIN19YUGNGN0J2a0ZlQ3JuWnFyMDFaWV9mMGlURi1fVDllcDJ3Q195TWZUaENzNlYyLVJjd1hERndQcWNQZ2FLZTMxbHQyZ2cyVmhFanhldnlYUTF2M2J4eWhyMGZIRGVELWZ3Q2FQYXJnQUdQWGFNMG81YTVURlJXNEtFUTNWV1JUcTJDMGNOYlYyc19uck1LMzJubGQ4?oc=5,2026-08-24,PR Newswire,AI,Mistral과 HUMAIN이 사우디아라비아 및 지역에서 주권형(sovereign) 인공지능 발전을 위해 전략적 협력을 발표했다. 해당 발표는 PR Newswire를 통해 공개되었다.,summarized,2026-08-27T02:07:42.987179+00:00,2026-08-27 02:21:40,24
57,30,Apple introduces M6 and M5 Ultra for a big leap in performance and AI compute - Apple,Apple introduces M6 and M5 Ultra for a big leap in performance and AI compute Apple,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNaFNZWnlDMmx2VlBtaFlBWTAyS1g1cWk2SF8wM2phRU95eWpJT2hoM1RtMGVDOUJmNmI0N1RNQzBnblhQVjdFcHl4RVZNVzg1YVZEbTMycVpxdkpTcmNGODIzcmxxRzRnOEJ5Qkg0OG1QVDZaYy1sdUoxLTJJbWUzbEZFcmhzMVlQUXB4OEJBWGhrY2d5aWhXYzNaOElRdlZzdktUdGc1ZTJvcGRUWVc0X2RJTk5GUi1x?oc=5,2026-08-26,Apple,AI,Apple이 성능과 AI 연산에서 큰 도약을 목표로 하는 M6와 M5 Ultra 칩을 발표했다. 제공된 본문에는 그 외 세부 내용은 포함되어 있지 않다.,summarized,2026-08-27T02:07:42.993056+00:00,2026-08-27 02:21:46,25
84,45,Worst-case glacial lake flood scenarios in a transboundary Himalayan basin 2022,Worst-case glacial lake flood scenarios in a transboundary Himalayan basin 2022,https://nhess.copernicus.org/articles/22/3765/2022/nhess-22-3765-2022.html,,Hacker News,기타,"기사 본문이 제공되지 않아 핵심 내용을 요약할 수 없습니다. 제공된 제목은 ""Worst-case glacial lake flood scenarios in a transboundary Himalayan basin 2022""입니다. 본문을 붙여 주시면 3문장 이내로 간결히 요약해 드리겠습니다.",summarized,2026-08-27T02:17:55.767396+00:00,2026-08-27 02:21:51,26
